Query,Key Match Count,Value Match Count,Gemma Unique Keys,QMeans Unique Keys,Gemma Unique Values,QMeans Unique Values,Key Match %,Value Match %,Gemma: Value - Keys,QMeans: Value - Keys,Matched Keys,Matched Values,Gemma Only Keys,QMeans Only Keys
Autonic Shaft Encoder,1,2,8,2,2,2,12.5%,100.0%,Autonic - brand | company | manufacturer | make |||| Shaft Encoder - type | motor_type | product_type | device_type,autonic - make |||| shaft encoder - encoder type,make,autonic | shaft encoder,brand | company | device type | manufacturer | motor type | product type | type,encoder type
B&R 8BVI0014HWS0.000-1 ACOPOS MULTI INVERTER MODULE I0014S,1,2,8,2,3,2,12.5%,66.7%,B&R - brand | company | manufacturer | make |||| 8BVI0014HWS0.000-1 - model_number | model_name | model | model_no |||| ACOPOS MULTI INVERTER MODULE I0014S - model_name | model_no | model | model_number,8bvi0014hws0.000-1 - model name/number |||| b&r - brand,brand,8bvi0014hws0.000-1 | b&r,company | make | manufacturer | model | model name | model no | model number,model name/number
BLDC Motor Sa42bld002 - 3000 Rpm 24vdc 52 Watt,2,3,13,5,4,5,15.4%,75.0%,24VDC - power_source | power_supply | power_type |||| 3000 RPM - speed | rpm | motor_speed |||| SA42BLDO02 - model_number | model_name | model | model_no |||| 52 Watt - power | wattage | motor_power,24vdc - voltage |||| 3000 rpm - speed |||| 52 watt - power |||| bldc - motor type |||| sa42bld002 - model name/number,power | speed,24vdc | 3000 rpm | 52 watt,model | model name | model no | model number | motor power | motor speed | power source | power supply | power type | rpm | wattage,model name/number | motor type | voltage
BRUSHLESS MOTOR DYS 1800KV,0,1,8,2,2,2,0.0%,50.0%,1800KV - speed | rpm | motor_speed | rated_speed |||| BRUSHLESS MOTOR - brand | company | manufacturer | make,1800kv - voltage |||| brushless - motor type,,1800kv,brand | company | make | manufacturer | motor speed | rated speed | rpm | speed,motor type | voltage
Bch Submersible Pump Starters,1,1,7,2,2,2,14.3%,50.0%,BCH - brand | company | manufacturer | make |||| Submersible Pump Starters - starter_type | starter_model | starting_method,bch - brand |||| submersible pump - usage,brand,bch,company | make | manufacturer | starter model | starter type | starting method,usage
Belimo Damper Actuator,1,2,8,2,2,2,12.5%,100.0%,BELIMO - brand | company | manufacturer | make |||| Damper Actuator - type | motor_type | product_type | device_type,belimo - brand |||| damper actuator - structure,brand,belimo | damper actuator,company | device type | make | manufacturer | motor type | product type | type,structure
Belimo Damper Fire Actuator,1,1,8,2,2,2,12.5%,50.0%,BELIMO - brand | company | manufacturer | make |||| Damper Fire Actuator - type | motor_type | product_type | device_type,belimo - brand |||| damper - structure,brand,belimo,company | device type | make | manufacturer | motor type | product type | type,structure
Bharat Benz Aluminium Housing,1,1,8,2,2,2,12.5%,50.0%,Bharat Benz - brand | company | manufacturer | make |||| Aluminium Housing - material | body_material | material_type | casing_material,aluminium - material |||| bharat benz - vehicle type/model,material,bharat benz,body material | brand | casing material | company | make | manufacturer | material type,vehicle type/model
Bharat Bijlee Electric Motor,1,1,4,2,1,2,25.0%,100.0%,Bharat Bijlee - brand | company | manufacturer | make,bharat bijlee - brand |||| electric - power source,brand,bharat bijlee,company | make | manufacturer,power source
Bharat Bijlee Ie3 Motor,2,2,7,2,2,2,28.6%,100.0%,Bharat Bijlee - brand | company | manufacturer | make |||| IE3 - efficiency | energy_efficiency_grade | star_rating,bharat bijlee - brand |||| ie3 - efficiency,brand | efficiency,bharat bijlee | ie3,company | energy efficiency grade | make | manufacturer | star rating,
Blower Motors,0,0,4,0,1,0,0.0%,0.0%,Blower Motors - type | motor_type | product_type | device_type,,,,device type | motor type | product type | type,
Bonfiglioli A Series Gear Motor,1,2,8,3,2,3,12.5%,100.0%,Bonfiglioli - brand | company | manufacturer | make |||| A Series - model_number | model_name | model | model_no,a series - series |||| bonfiglioli - brand |||| gear motor - motor type,brand,a series | bonfiglioli,company | make | manufacturer | model | model name | model no | model number,motor type | series
Bosch Carbon Brushes,1,1,8,2,2,2,12.5%,50.0%,Bosch - brand | company | manufacturer | make |||| Carbon - material | body_material | material_type | casing_material,bosch - brand |||| carbon brushes - product,brand,bosch,body material | casing material | company | make | manufacturer | material | material type,product
Bosch parts,1,1,8,1,2,1,12.5%,50.0%,Bosch - brand | company | manufacturer | make |||| Parts - usage_application | application | usage | suitable_for,bosch - brand,brand,bosch,application | company | make | manufacturer | suitable for | usage | usage application,
Brake Motors,0,0,4,0,1,0,0.0%,0.0%,Brake Motors - type | motor_type | product_type | device_type,,,,device type | motor type | product type | type,
Break Motor,0,0,4,1,1,1,0.0%,0.0%,Break - power_source | power_supply | power_type | power_requirement,motor - part type,,,power requirement | power source | power supply | power type,part type
Brueninghaus Hydromatik Rexroth A2Fm-28/61 Hydraulic Piston Motor,0,1,8,2,2,2,0.0%,50.0%,Brueninghaus Hydromatik Rexroth - brand | company | manufacturer | make |||| A2Fm-28/61 - model_number | model_name | model | model_no,a2fm-28/61 - model name/number |||| hydraulic piston motor - type,,a2fm-28/61,brand | company | make | manufacturer | model | model name | model no | model number,model name/number | type
Bullet Farrata Fan Motor,0,0,8,2,2,2,0.0%,0.0%,Farrata - brand | company | manufacturer | make |||| Bullet - type | motor_type | product_type | device_type,farrata fan - usage |||| motor - part type,,,brand | company | device type | make | manufacturer | motor type | product type | type,part type | usage
C Beam Linear Actuator,0,1,7,1,2,1,0.0%,50.0%,C Beam - type | motor_type | product_type | device_type |||| Linear Actuator - number_of_poles | no_of_poles | poles,linear actuator - actuator type,,linear actuator,device type | motor type | no of poles | number of poles | poles | product type | type,actuator type
CG Make 1hp 1440 rpm Flange Mounted Brake Motor,3,2,14,5,4,5,21.4%,50.0%,1HP - power_source | power_supply | power_type |||| 1440 RPM - speed | rpm | motor_speed |||| Flange Mounted - mounting_type | mounting | mounting_style | mounting_method |||| CG Make - brand | company | manufacturer | make,1440 rpm - speed |||| 1hp - power |||| brake motor - product |||| cg - brand |||| flange - mounting type,brand | mounting type | speed,1440 rpm | 1hp,company | make | manufacturer | motor speed | mounting | mounting method | mounting style | power source | power supply | power type | rpm,power | product
CG Three Phase Crompton Greaves Flameproof Motor,2,2,14,4,4,4,14.3%,50.0%,Crompton Greaves - brand | company | manufacturer | make |||| CG - number_of_poles | no_of_poles | poles |||| Three Phase - phase | phase_type | number_of_phase | input_phase |||| Flameproof - enclosure | body_enclosure | housing_protection,cg - model name/number |||| crompton - brand |||| flameproof motor - motor type |||| three phase - phase,brand | phase,cg | three phase,body enclosure | company | enclosure | housing protection | input phase | make | manufacturer | no of poles | number of phase | number of poles | phase type | poles,model name/number | motor type
CG make  electric motor,1,1,8,2,2,2,12.5%,50.0%,CG - brand | company | manufacturer | make |||| Electric Motor - type | motor_type | product_type | device_type,cg - brand |||| electric - power source,brand,cg,company | device type | make | manufacturer | motor type | product type | type,power source
COPCARBON BRUSH 25X40X10,1,1,7,2,2,2,14.3%,50.0%,25X40X10 - size | dimension | frame_size |||| COPCARBON BRUSH - model_number | model_name | model | model_no,25x40x10 - size |||| copcarbon - bristle material,size,25x40x10,dimension | frame size | model | model name | model no | model number,bristle material
CP - 101 ACTUATOR,0,2,8,2,2,2,0.0%,100.0%,CP - 101 - model_number | model_name | model | model_no |||| ACTUATOR - model_type | model_category | product_type | device_type,actuator - product |||| cp - 101 - model name/number,,actuator | cp - 101,device type | model | model category | model name | model no | model number | model type | product type,model name/number | product
CTV 110 Unimotion Servo Motor,0,1,8,1,2,1,0.0%,50.0%,CTV 110 - model_number | model_name | model | model_no |||| Unimotion - brand | company | manufacturer | make,ctv 110 - model name/number,,ctv 110,brand | company | make | manufacturer | model | model name | model no | model number,model name/number
Carbon Brush,1,1,4,1,1,1,25.0%,100.0%,Carbon - material | material_type | body_material | material_of_construction,carbon - material,material,carbon,body material | material of construction | material type,
Carbon Brush Holder,1,2,8,2,2,2,12.5%,100.0%,Carbon - material | material_type | body_material | casing_material |||| Brush Holder - usage_application | application | usage | suitable_for,brush holder - product |||| carbon - material,material,brush holder | carbon,application | body material | casing material | material type | suitable for | usage | usage application,product
Carbon brush for AC HT Moter,2,2,7,2,2,2,28.6%,100.0%,Carbon Brush - type | product_type | device_type |||| AC HT Moter - usage_application | application | usage | suitable_for,ac ht moter - usage |||| carbon brush - type,type | usage,ac ht moter | carbon brush,application | device type | product type | suitable for | usage application,
Chimney Motor,0,1,4,2,1,2,0.0%,100.0%,Chimney - type | motor_type | product_type | device_type,chimney - usage |||| motor - part type,,chimney,device type | motor type | product type | type,part type | usage
Clogging Test,0,0,4,1,1,1,0.0%,0.0%,Clogging Test - type | device_type | product_type | equipment_type,clogging - testing type,,,device type | equipment type | product type | type,testing type
Concrete Vibrator Motor,1,1,10,2,3,2,10.0%,33.3%,Concrete Vibrator Motor - power_source | power_supply | power_type |||| Concrete - material | body_material | material_type |||| Motor - usage_application | application | usage | suitable_for,concrete vibrator - usage |||| motor - part type,usage,motor,application | body material | material | material type | power source | power supply | power type | suitable for | usage application,part type
Cooler Motor,0,0,3,2,1,2,0.0%,0.0%,Cooler Motor - type | motor_type | product_type,cooler - usage |||| motor - part type,,,motor type | product type | type,part type | usage
Cooler Motor 1 Inch,0,1,7,1,2,1,0.0%,50.0%,1 Inch - size | dimension | frame_size |||| Cooler Motor - mounting_type | mounting | mounting_style | mounting_method,cooler motor - usage,,cooler motor,dimension | frame size | mounting | mounting method | mounting style | mounting type | size,usage
Cooler Motor 1 Inch Kit (aluminium),0,0,7,1,2,1,0.0%,0.0%,1 Inch - size | dimension | frame_size |||| Kit (aluminium) - material | body_material | material_type | casing_material,cooler motor - usage,,,body material | casing material | dimension | frame size | material | material type | size,usage
Cooler Motor 7 Sutt,0,1,7,1,2,1,0.0%,50.0%,7 - number_of_poles | no_of_poles | poles |||| Cooler Motor - type | motor_type | product_type | device_type,cooler motor - usage,,cooler motor,device type | motor type | no of poles | number of poles | poles | product type | type,usage
