"fk_im_spec_master_desc","fk_im_spec_options_desc"
Design Type,Standard
Dust,As Per Requirement
Color,Any
Wall Thickness,standard
Design,Modern
Color,multi
I Deal In,New Only
Design Type,Customised
I Deal In,New Only
I Deal In,New Only
I Deal In,New Only
I Deal In,New Only
Purity,Good
Automation Grade,As Per Requirement
Design Type,Customized
I Deal In,New Only
I Deal In,New Only
I Deal In,New Only
I Deal In,New Only
Dimension,Customised
I Deal In,New Only
I Deal In,New Only
I Deal In,New Only
I Deal In,New Only
Design Type,Customizable
I Deal In,New Only
I Deal In,New Only
I Deal In,New Only
Size(mm),Customize
Is It Customized,Customized
I Deal In,New Only
I Deal In,New Only
I Deal In,New Only
Size,Customized
Capacity(kg),as per your requirement
Production Capacity,TAILOR MADE
Capacity,As per requirements
I Deal In,New Only
I Deal In,New Only
I Deal In,New Only
I Deal In,New Only
I Deal In,New Only
I Deal In,New Only
I Deal In,New Only
I Deal In,New Only
I Deal In,New Only
I Deal In,New Only
I Deal In,New Only
I Deal In,New Only
I Deal In,New Only
I Deal In,New Only
I Deal In,New Only
I Deal In,New Only
I Deal In,New Only
I Deal In,New Only
I Deal In,New Only
I Deal In,New Only
I Deal In,New Only
I Deal In,New Only
I Deal In,New Only
I Deal In,New Only
I Deal In,New Only
I Deal In,New Only
I Deal In,New Only
I Deal In,New Only
I Deal In,New Only
I Deal In,New Only
I Deal In,New Only
I Deal In,New Only
I Deal In,New Only
I Deal In,New Only
I Deal In,New Only
I Deal In,New Only
I Deal In,New Only
I Deal In,New Only
I Deal In,New Only
I Deal In,New Only
I Deal In,New Only
I Deal In,New Only
I Deal In,New Only
I Deal In,New Only
I Deal In,New Only
I Deal In,New Only
I Deal In,New Only
I Deal In,New Only
I Deal In,New Only
I Deal In,New Only
I Deal In,New Only
I Deal In,New Only
I Deal In,New Only
I Deal In,New Only
I Deal In,New Only
I Deal In,New Only
I Deal In,New Only
I Deal In,New Only
I Deal In,New Only
I Deal In,New Only
I Deal In,New Only
I Deal In,New Only
I Deal In,New Only
I Deal In,New Only
I Deal In,New Only
I Deal In,New Only
I Deal In,New Only
I Deal In,New Only
I Deal In,New Only
I Deal In,New Only
I Deal In,New Only
I Deal In,New Only
I Deal In,New Only
I Deal In,New Only
I Deal In,New Only
I Deal In,New Only
I Deal In,New Only
I Deal In,New Only
I Deal In,New Only
I Deal In,New Only
I Deal In,New Only
I Deal In,New Only
Capacity,CUSTOMIZED
I Deal In,New Only
Purity,BEST
Frequency,NA
Design Type,Customised
Die Size,Customizable
I Deal In,New Only
I Deal In,New Only
Quality,Good
Service Duration,As Per Client Requirements
Color,optional
Screw Design,na
Type Of Testing Machines,na
Capacity,Customize
Material,Customize
Screw Number,na
Diameter,as per size
Height,as per size
Phase,Customize
Voltage,Customize
Flange Width,as per size
Font Roll Diameter,as per requirment
Line Speed,as per requirment
Depth,as per size
Quality Available,Good
Dimension,as per requirment
Phase,na
Speed,na
Purity,Good
Design,Standard
Size,Standard
Power,N/A
Phase,N/A
Model Name/Number,na
Capacity,Customized
Material,Customized
Frequency,all
Material,all
Screw Number,AS PER REQUIRED
Size,Na
Material,NA
Packaging Size,Na
Usage/Application,Na
L/D Ratio,Na
Phase,AS PER REQUIRED
Voltage,AS PER REQUIRED
Capacity,na
Voltage,na
Motor Power,Depends on capacity
Voltage,Depends on capacity
Design Type,Customized
Machine Type,Customized
Design Type,Customized
Machine Type,Customized
Capacity(kg),"5 kg"
Production Capacity,"450 kg/hr"
Depth,"20"
Output,"100 kg/hr"
Work Type,MANUAL
Dimension,"10"
Capacity,"500 kg/hr"
Automation Grade,Manual
Automation Grade,Semi-Automatic
Automation Grade,Semi Automatic
Automation Grade,Manual
Capacity(kg),"20 kg"
Capacity(kg),"50"
Capacity(kg),"50"
Power,"50"
Heating Range,"50"
Purity,"50"
Design Type,Semi Automatic
Machine Type,Semi Automatic
Power Consumption,"40  kW"
Condition,New
Lay Flat Width,"1100 mm"
Brand,Yug
No of position,"12"
SPE cartridge size,"1mL (Standard)"
Driven Type,Electrical
Driven Type,Electrical
SPE cartridge size,"1 ml, 0.6 ml"
Phase,Single Phase
Surface Finish,Polished
Standard with equipment,Includes waste reservoir with assembly to allow for waste
Phase,single phase
SPE cartridge size,"1mL (Standard)"
Model Name/Number,CoreBitX 06
Capacity,"50 L"
Capacity,"500 TPD"
Production Capacity,"200 kg/hr"
Production Capacity,"200 kg/hr"
Capacity(kg),"20"
Capacity(kg),"5 kg"
Capacity,"10 TPD"
Diameter,"20 mm - 400 mm Pipe Size"
Frequency,"50-60 Hz"
Color,White and Dark Blue
Capacity,"110 Kg/Hr to 700 Kg/Hr"
Power,"60 Kw"
Automation Grade,Semi-Automatic
Installation Services,Yes
Machine Power,"40-80"
Country of Origin,Made in India
Line Speed,"100-300"
Wire Diameter,N.A
Thickness,MICRON
Weight,TON
Model Name/Number,IEC001
Phase,"3"
Warranty,"1 Year"
I Deal In,New Only
Phase,Single
Material,MS
Color,Dark Blue
Power,Electric
Country of Origin,Made in India
Country of Origin,Made in India
Brand,Shubham Extrusion
Country of Origin,Made in India
I Deal In,New Only
Automatic Grade,Automatic
Output,"0-50 kg/hr"
Output,"100-200 kg/hr"
Purity,"100%"
Body Material,MS
Voltage,"146 - 194 ( kw )"
Film Thickness,"100 Micron"
Screw Diameter,"146 - 194 ( kw )"
Color,BLUE / WHITE / Gray
Usage/Application,For Low Quality Cable Extruder
Capacity,"60-1000  TPD"
Automatic Grade,Semi-Automatic
Wire Material,"Copper,Aluminium"
Power Consumption,"650 unit/ton"
Body Material,Mild Steel
Capacity,"1 KL - 6 KL"
Purity,"99.99%"
Automation Grade,Fully Automatic
Automation Grade,Fully Automatic
Country of Origin,Made in India
Power Source,Customized
Material,Customized
Voltage,"220 V"
Automation Grade,Automatic
Phase,Single Phase
Font Roll Diameter,XXX
Line Speed,"3 HOURS"
Installation Services,Yes
Automation Grade,FULLY AUTOMATICE
Brick Type,Solid
Frequency,"50 Hz"
Power Source,Electric
Material,SS
Dimension,"60X60X48"
Heating Range,"100"
Packaging Type,export type
Purity,"99.99"
Burner,M TECH JEWEL EQUIPMENT
Diameter,XXX
Dust,SILVER JEWELLRY
Country of Origin,Made in India
Material,Mild Steel
Usage/Application,For Wire Extrusion
Machine Type,Extruder Machine
Output,"300-350 kg/hr"
Brand,Aasabi
Automation Grade,fully
Brand,M Tech Jewel Equipment
Usage/Application,Industrial
Material,METAL
Automation Grade,Semi-Automatic
Speed,"2300 RPM"
Product Type,ELECTRICAL OPERATED
Installation Services,Yes
Body Material,Mild Steel
Automatic Grade,Automatic
Production Capacity,"55-125 KG/HR"
Production Capacity,"180-230 KG/HR"
Machine Power,"0-40"
Wire Diameter,Customiz
Warranty,"12months"
Thickness,"2.1"
Output,"150-170 Kg/Hour"
Voltage,"420V"
Capacity,"100kg/day"
Voltage,"380 V"
Model Name/Number,VIKAS 35
Main Drive Ac,"750 KW"
Country of Origin,Made in India
Surface Finishing,Paint Coated
Automation Grade,Semi-Automatic
Power Source,Electrical
Design Type,Customized
Frequency (Hz),"50 Hz"
Voltage,"220 V"
Brand,V-TECH
Material,Mild Steel
Frequency,"50-60 Hz"
Brand,Parth
I Deal In,New Only
Installation Services,YES
Capacity,"300 gm To 150 kg"
Capacity,"300 GM to 5kg"
Voltage,"220 to 320 V"
Material,Stainless Steel
Capacity,"5 kg"
Installation Services,Yes
Capacity,"1kg"
Automation Grade,Automatic
Phase,"1"
Voltage,"440 V"
Phase,Single
Brand,Supertechno
Automation Grade,Semi-Automatic
Power Source,Electric
Max Inlet Wire Diameter,"9-12 mm"
Production Capacity,"100-500kg/h"
Phase,Three Phase
Automation Grade,Automatic
Burner,M TECH JEWEL EQUIPMENT
Body Material,P.P
Gases,NITRIC AND HCL
Power,"220V"
Lead,"1 KW"
Country of Origin,Made in India
Phase,"1"
Automation Grade,Automatic
Frequency,"50Hz"
Power Source,Electric
Capacity,Up To 2500 Tpd
Usage/Application,Solvent Extraction Plant
Country of Origin,Made in India
Voltage (V),"380"
Purity,"99.99"
Brand,EDR-EWRM
Automation Grade,Manual
Capacity,"100 kg Per day"
Brand,Elechem
Installation Services,Yes
Capacity,Customize
Capacity,Customize
Color,Blue
Usage/Application,laboratory equipment
Type,Clay Extruder
Voltage,"440V"
Material,Stainless Steel
Machine Power,"0-40"
Capacity,"1000 - 5000 kg"
Automation Grade,Semi-Automatic
Oil Tank Capacity,"100 to 500 Litre"
Pressure,"30 - 50 Bar"
Thickness,"10-18 mm"
Voltage,"415 V"
Body Material,Stainless steel
Voltage,"240V/440V"
I Deal In,New Only
Speed (RPM),"2000-5000"
Material,Mild Steel
Power Source,Eletric
Voltage Supply (V),"240 V"
Voltage,"440V"
Warranty,"1 year"
Automatic Grade,Automatic
Material,GPPS
Operation Mode,Automatic
Voltage (Volt),"415-420"
Line Speed (Meter/Minute),"45"
Automation Grade,Manual
Hand Operated,Yes
Frequency (Hz),"50"
Power Source,AC
Voltage,"440 V"
Phase,Single Phase
Installation Services,Yes
Installation Services,Yes
Purity,"90%"
Body Material,Titanium
Power,"400W"
Voltage,"220V"
Production Capacity,"65KG to 70KG/HR"
Automation Grade,Automatic
Film Thickness,"20-200 Micron"
Automation Grade,Automatic
Phase,"3 Phase"
Voltage,"440"
Usage/Application,Industrial
Power Source,Depend on the Project
Voltage,Depend on the Project
Design Type,Depend on the Project
Installation Services,Yes
Brand,UNILAB
Capacity,"100kg/hr"
Driven Type,Electric
Machine Power,"120 hp"
Voltage,"415 V"
Warranty,"1 Year"
Power,"100 hp"
Phase,Three Phase
Warranty,"1 Year"
Phase,Three Phase
Country of Origin,Made in India
Brand,Jeweltech
Brand,INDIAN
Phase,"3 Phase"
Automation Grade,Manual
Automation Grade,Semi-Automatic
Voltage,"240 V"
Installation Services,Yes
Automation Grade,Automatic
Material To Be Extruded,Plastic
Body Material,Mild Steel
Phase,Three Phase
Body Material,MS
Voltage,"260 V"
Country of Origin,Made in India
Brand,Swaraj
Voltage Supply (V),"230 V AC"
Power Source,Electric
Frequency,"50Hz"
Machine Type,Semi-Automatic
Capacity,"30-60kgs per hour"
Condition,New
Automation Grade,Automatic
Country of Origin,Made in India
Power Source,Electric
Automation Grade,Automatic
Automation Grade,Automatic
Model Name/Number,"500HE"
Usage/Application,Plastic Carry Bag
Capacity,As per requirement
Automation Grade,Automatic
Brand,Venus
Automation Grade,Semi-Automatic
Automation Grade,Semi-Automatic
Output,"500 - 700kg/Day in 8 Hour"
Brand,sant engineering industries 
Phase,"3 Phase"
Installation Services,Yes
Color,Blue
Speed,"1440rpm"
Installation Services,Yes
Brand,SMEW
Country of Origin,Made in India
Phase,Three Phase
Automation Grade,Automatic
Body Material,Stainless steel
Voltage,"415 V"
Country of Origin,Made in India
Automation Grade,Semi-Automatic
Usage/Application,Industrial
Body Material,MS
Usage/Application,Industrial
Model Name/Number,LL-110F
Capacity,"1 To 100Kg."
Installation Services,Yes
Speed,"3600RPM"
Product Type,ELECTRICALLY
Voltage Supply,A.C
I Deal In,New Only
Automatic Grade,Custom 
Body Material,polypropelyne homopolymer
Voltage,"230 volt"
Installation Services,Yes
Capacity,"1kg"
Automation Grade,Automatic
Frequency,"60 Hz"
Material,Stainless Steel
Power,"240 V"
Brand,Ocean Extrusions Pvt Ltd
Power Consumption,"146 - 194 ( kw )"
Color,Blue / White
Machine Type,Automatic
Plastic Processed,Extruder
Power Consumption,"48 - 75 ( kw )"
Power Consumption,"200KVA"
Brand,NEPTUNE PLASTIC 
Brand,RELIABLE
Power Source,Electric
Voltage,"220 V"
Production Capacity,"100 - 750 Kg. / Hour"
Automation Grade,Semi-Automatic
Design Type,Mixed Type of Design
Brand,Infiniti Extrusion Techmac
Material,MS
Voltage,"220-415V"
Phase,Three Phase
Machine Power,"35 kW"
Voltage,"240 V"
Line Speed,"1200 RPM"
Installation Services,Yes
Capacity,"12kl"
Country of Origin,Made in India
Phase,Three Phase
Brand,EIE
Automation Grade,Automatic
Voltage,"440 V"
Power Source,Electric
Capacity,"50 - 75 Kgs"
Wire Material,Copper
Brand,Smarcon
Capacity,Upto 1000 kg/day raw material
Material,STEEL
Voltage,"440"
Lay Flat Width,"35FT"
Phase,"1 Phase"
Country of Origin,Made in India
Capacity,Standard
Country of Origin,Made in India
Average Productivity,"150 KG"
Voltage,"240 V"
Capacity,"100-120 pieces per hour"
Power,"146 - 194 ( kw )"
Material,LD/ PP/ HM/ Biodegradable
Material To Be Extruded,Plastic
Country of Origin,Made in India
Voltage,"440 V"
Material,Mild Steel
Main Motor,"10 HP"
Material,Mild Steel
Speed,"3500 rpm"
Surface Finishing,Paint Coated
Output,"40 - 130"
Country of Origin,Made in India
Condition,New
Output,"75 - 250 kg/hour"
Frequency,"50-60 Hz"
Capacity,"60 Kg Per Hour"
Weight,"950 Kg"
Installation Services,Yes
Screw Torque,"6 N-m"
Surface Finishing,Superior Quality Paint Finish
Voltage,"380 V"
Usage/Application,Bitumen Testing
Automatic Grade,Semi-Automatic
Speed,"1440 RPM"
Voltage,"230 V"
Material,MS
Country of Origin,Made in India
Automation Grade,Automatic
Voltage,"230 V"
Frequency,"50 Hz"
Body Material,MS
Output,"50-100 kg/hr"
Automation Grade,Automatic
Machine Power,"25 ( kw )"
Condition,New
Power Consumption,"146 - 194 ( kw )"
Material,aluminium
Brand,"Ek Danta Refiners,EK DANTA REFINERS"
Capacity,"1 kg,1...200 KG"
Voltage,"220-240 V"
Frequency,"50-60 Hz"
Phase,Three Phase
Condition,New
Country of Origin,Made in India
Voltage (V),"415 V"
Material,Stainless steel
Automation Grade,Semi Automatic
Voltage,"230 Volts"
Capacity,"28 - 280 ( kg/hr )"
Maintenance,No Maintenance
Automation Grade,Manual
I Deal In,New Only
Country of Origin,Made in India
Installation Services,Yes
Phase,Single Phase
Weight,"250kg"
Voltage Supply,"230v"
Finish,Color Coated
Condition,New
Installation Services,Yes
Country of Origin,Made in India
Connected Load,"146 - 194 ( kw )"
Machine Weight,"12 Ton"
Dimension,"16 X 10 X 12 to 18 X 10 X 14 ( L X W X h )"
Material,Mild Steel
Automation Grade,Automatic
Body Material,Mild Steel
Voltage,"220 - 380 V"
Driven Type,Screw Driven
Range,"500 KG TO 5 TONNE"
Power Consumption,"30 kW"
Automatic Grade,Automatic
Voltage,"220 V"
Power,"4 KW"
Automation Grade,Automatic
Phase,Single Phase
Brand,Mehta Tubes
I Deal In,New Only
Country of Origin,Made in India
Brand,Ocean Extrusions Pvt Ltd
Warranty,"1 Year"
Model Name/Number,OEPLABA01
Plastic Processed,Extruder
Brand,Ocean Extrusions Pvt Ltd
Country of Origin,Made in India
Power,"220B"
Voltage (V),"220"
Size,"40 FTX 50 FT X 15 h  FT"
Model Number,NF4ARM-2K4ARM
Fuel Type,GAS
Color,Blue
Installation Services,Yes
Automation Grade,Automtic
Material,MS
Power Source,Electric
Brand,ARR
Phase,"2 Phase"
Automation Grade,A Grade
Plastic Processed,Extruder
Power Source,Electric
Frequency,"50Hz"
Material,Stainless Steel (Body)
Power,"3 HP"
Country of Origin,Made in India
Color,Blue
Installation Services,Yes
Country of Origin,Made in India
Power,Electrical
Thickness,"100 Micron"
Lay Flat Width,"12 Feet"
Power Consumption,"75 KW"
Voltage,"415 V"
Output,"100-200 kg/hr"
Automation Grade,Manual
Color,blue
Hand Operated,Yes
I Deal In,New Only
Country of Origin,Made in India
Dimension,Normal
Brand,PVG
Output,"100-150kg/h"
Warranty,one year
Driven Type,Electric
Dimension,Customisable
I Deal In,New Only
Purity,Good
Diesel Consumption,NA
Packaging Size,As per requirement
Frequency,NORMAL
I Deal In,New Only
I Deal In,New Only
Design Type,Customised
I Deal In,New Only
Design Type,Customised
Size,Varies
I Deal In,New Only
I Deal In,New Only
Size,Customize
I Deal In,New Only
Design Type,Customised
Design Type,Customised
I Deal In,New Only
I Deal In,New Only
Color,Customized
Design Type,Customized
Size,Customized
I Deal In,New Only
Production Capacity,Customise
Capacity(kg),as per your requirement
Capacity(kg),AS PER YOUR NEED
Production Capacity,As Per Requirement
Production Capacity,As Per Requirement
Screw Design,Standard
I Deal In,New Only
I deal in,New Only
I Deal In,New Only
I Deal In,New Only
I Deal In,New Only
I Deal In,New Only
I Deal In,New Only
I Deal In,New Only
I Deal In,New Only
I Deal In,New Only
I Deal In,New Only
I Deal In,New Only
I Deal In,New Only
I Deal In,New Only
I Deal In,New Only
I Deal In,New Only
I Deal In,New Only
I Deal In,New Only
I Deal In,New Only
I Deal In,New Only
I Deal In,New Only
I Deal In,New Only
I Deal In,New Only
I Deal In,New Only
I Deal In,New Only
I Deal In,New Only
I Deal In,New Only
I Deal In,New Only
I Deal In,New Only
I Deal In,New Only
I Deal In,New Only
I Deal In,New Only
I Deal In,New Only
I Deal In,New Only
I Deal In,New Only
I Deal In,New Only
I Deal In,New Only
I Deal In,New Only
I Deal In,New Only
I Deal In,New Only
I Deal In,New Only
I Deal In,New Only
I Deal In,New Only
I Deal In,New Only
I Deal In,New Only
I Deal In,New Only
I Deal In,New Only
I Deal In,New Only
I Deal In,New Only
I Deal In,New Only
I Deal In,New Only
I Deal In,New Only
I Deal In,New Only
I Deal In,New Only
I Deal In,New Only
I Deal In,New Only
I Deal In,New Only
I Deal In,New Only
I Deal In,New Only
I deal in,New Only
I Deal In,New Only
I Deal In,New Only
I Deal In,New Only
I Deal In,New Only
I Deal In,New Only
I Deal In,New Only
I Deal In,New Only
I Deal In,New Only
Size,Customized
Design Type,Customized
I Deal In,New Only
I Deal In,New Only
I Deal In,New Only
I Deal In,New Only
I Deal In,New Only
I Deal In,New Only
I Deal In,New Only
I Deal In,New Only
I Deal In,New Only
I Deal In,New Only
I Deal In,New Only
I Deal In,New Only
I Deal In,New Only
I Deal In,New Only
Purity,AS PER NEED
I Deal In,New Only
Purity,AS PER REQUIREMENT
I Deal In,New Only
I Deal In,New Only
I Deal In,New Only
I Deal In,New Only
I Deal In,New Only
I Deal In,New Only
I Deal In,New Only
I Deal In,New Only
I Deal In,New Only
