Query,Key Match Count,Value Match Count,GT Unique Keys,Gemini Unique Keys,GT Unique Values,Gemini Unique Values,Key Match %,Value Match %,GT: Value - Keys (by priority),Gemini: Value - Keys (by priority),Matched Keys,Matched Values,GT Only Keys,Gemini Only Keys
Electric Vibratory Motor,1,0,2,3,1,2,50.0%,0.0%,vibrator motor - motor_type | product_type,electric vibratory motor - motor_type | type |||| vibratory - application,motor type,,product type,application | type
Electrical carbon Brushes,2,0,4,4,2,2,50.0%,0.0%,automotive - application | use |||| brush - product_category | category,carbon brushes - product_type | category |||| electrical - application | type,application | category,,product category | use,product type | type
Electro Pneumatic Valve Positioner,1,0,4,5,2,2,25.0%,0.0%,actuator - application | use |||| actuator - product_category | category |||| pneumatic - product_category | category,Valve Positioner - product_type | category |||| Electro Pneumatic - type | operation | actuation,category,,application | product category | use,actuation | operation | product type | type
Electronic Starter,1,0,4,3,1,1,25.0%,0.0%,starter - application | use |||| starter - product_category | category,Electronic Starter - product_type | type | category,category,,application | product category | use,product type | type
End Shield Cover,0,0,2,3,1,1,0.0%,0.0%,motor cover - product_category | category,End Shield Cover - part_name | component | product_type,,,category | product category,component | part name | product type
Exhaust Fan Motor,3,0,4,3,3,1,75.0%,0.0%,fan motor - motor_type | product_type |||| exhaust motor - motor_type | product_type |||| fan - application | use,exhaust fan motor - application | motor_type | use,application | motor type | use,,product type,
Explosion Proof Electric Motor,3,1,4,5,2,2,75.0%,50.0%,motor - motor_type | product_type |||| explosion proof - enclosure | protection,electric motor - motor_type | type |||| explosion proof - enclosure | protection | safety_rating,enclosure | motor type | protection,explosion proof,product type,safety rating | type
Explosion Proof Motors,1,1,4,3,2,2,25.0%,50.0%,motor - motor_type | product_type |||| explosion proof - enclosure | protection,Explosion Proof Motors - motor_type | feature | safety_rating,motor type,explosion proof,enclosure | product type | protection,feature | safety rating
FEBRICATION BLOWER 1HP SINGLE PHASE,4,1,5,7,2,3,80.0%,50.0%,1 hp - power | horsepower | hp |||| single phase - phase | supply_phase,febrication blower - application | type |||| 1hp - horsepower | power | hp |||| single phase - phase | phase_type,horsepower | hp | phase | power,single phase,supply phase,application | phase type | type
FHP Motor,1,0,2,4,1,2,50.0%,0.0%,motor - motor_type | product_type,fhp motor - motor_type | type |||| fhp - category | power_class,motor type,,product type,category | power class | type
FL28STH45-0674A - Hybrid Stepper Motor,1,0,2,6,1,3,50.0%,0.0%,stepper motor - motor_type | product_type,FL28STH45-0674A - model_number | part_number | mpn |||| Hybrid Stepper Motor - motor_type | stepper_type |||| Hybrid - technology,motor type,,product type,model number | mpn | part number | stepper type | technology
FL28STH45-0674AF-14 - Hybrid Stepper Motor,1,0,2,4,1,2,50.0%,0.0%,stepper motor - motor_type | product_type,FL28STH45-0674AF-14 - model_number | mpn |||| Hybrid Stepper Motor - motor_type | technology,motor type,,product type,model number | mpn | technology
FL28STH51-0674AF-Hybrid Stepper Motor,1,0,2,4,1,2,50.0%,0.0%,stepper motor - motor_type | product_type,FL28STH51-0674AF - model_number | part_number |||| Hybrid Stepper Motor - motor_type | stepper_type,motor type,,product type,model number | part number | stepper type
FL42BLSL01- Regular BLDC Motor,1,1,2,7,2,3,50.0%,50.0%,bldc motor - motor_type | product_type |||| dc motor - motor_type | product_type,FL42BLSL01- - model_number | part_number | mpn |||| BLDC Motor - motor_type | brushless_dc |||| Regular - type | series,motor type,bldc motor,product type,brushless dc | model number | mpn | part number | series | type
FL42BLSL02- Regular BLDC Motor,1,1,2,5,2,3,50.0%,50.0%,bldc motor - motor_type | product_type |||| dc motor - motor_type | product_type,FL42BLSL02- - model_number | part_number |||| BLDC Motor - motor_type | brushless_dc |||| Regular - type,motor type,bldc motor,product type,brushless dc | model number | part number | type
FL42STH33-0956AF- Hybrid Stepper Motor,1,0,2,5,1,2,50.0%,0.0%,stepper motor - motor_type | product_type,FL42STH33-0956AF- - model_number | mpn | part_number |||| Hybrid Stepper Motor - motor_type | type,motor type,,product type,model number | mpn | part number | type
FL42STH38-1684AF Hybrid Stepper Motor,1,0,2,6,1,3,50.0%,0.0%,stepper motor - motor_type | product_type,FL42STH38-1684AF - model_number | part_number | mpn |||| Hybrid Stepper Motor - motor_type | stepper_type |||| Hybrid - technology,motor type,,product type,model number | mpn | part number | stepper type | technology
FL42STH47-1684AF-08- Hybrid Stepper Motor,1,0,2,5,1,3,50.0%,0.0%,stepper motor - motor_type | product_type,FL42STH47-1684AF-08- - model_number | part_number |||| Hybrid Stepper Motor - motor_type | stepper |||| Hybrid - technology,motor type,,product type,model number | part number | stepper | technology
FL42STH60-0854AF- Hybrid Stepper Motor,1,0,2,6,1,3,50.0%,0.0%,stepper motor - motor_type | product_type,FL42STH60-0854AF- - model_number | part_number | mpn |||| Hybrid Stepper Motor - motor_type | stepper_type |||| Hybrid - technology,motor type,,product type,model number | mpn | part number | stepper type | technology
FL57BL01-24V-1500AD Brushless Motor,1,0,4,6,2,2,25.0%,0.0%,bldc motor - motor_type | product_type |||| 24v - voltage | supply_voltage,FL57BL01-24V-1500AD - model_number | mpn | part_number |||| Brushless Motor - motor_type | type | bldc,motor type,,product type | supply voltage | voltage,bldc | model number | mpn | part number | type
FL57BLB60 Regular BLDC Motor,1,1,2,6,2,3,50.0%,50.0%,bldc motor - motor_type | product_type |||| dc motor - motor_type | product_type,FL57BLB60 - model_number | part_number | series |||| Regular - type |||| BLDC Motor - motor_type | brushless_dc,motor type,bldc motor,product type,brushless dc | model number | part number | series | type
FL57BLS01-24V-10000A- Regular BLDC Motor,1,1,4,6,3,3,25.0%,33.3%,bldc motor - motor_type | product_type |||| dc motor - motor_type | product_type |||| 24v - voltage | supply_voltage,FL57BLS01-24V-10000A - model_number | part_number |||| BLDC Motor - motor_type | brushless_dc |||| Regular - series | type,motor type,bldc motor,product type | supply voltage | voltage,brushless dc | model number | part number | series | type
FL57STH51-2804AF- Hybrid Stepper Motor,1,0,2,6,1,3,50.0%,0.0%,stepper motor - motor_type | product_type,FL57STH51-2804AF- - model_number | part_number | mpn |||| Hybrid Stepper Motor - motor_type | type |||| Hybrid - technology,motor type,,product type,model number | mpn | part number | technology | type
FL57STH56-2504ACF-25 - Hybrid Stepper Motor,1,0,2,4,1,2,50.0%,0.0%,stepper motor - motor_type | product_type,FL57STH56-2504ACF-25 - model_number | part_number |||| Hybrid Stepper Motor - motor_type | stepper_type,motor type,,product type,model number | part number | stepper type
FL57STH56-2504ACF-25-ARK Hybrid Stepper Motor,1,0,2,5,1,2,50.0%,0.0%,stepper motor - motor_type | product_type,FL57STH56-2504ACF-25-ARK - model_number | part_number | mpn |||| Hybrid Stepper Motor - motor_type | stepper_type,motor type,,product type,model number | mpn | part number | stepper type
FL57STH56-2804AF-01- Hybrid Stepper Motor,1,0,2,4,1,2,50.0%,0.0%,stepper motor - motor_type | product_type,FL57STH56-2804AF-01- - model_number | part_number |||| Hybrid Stepper Motor - motor_type | stepper_type,motor type,,product type,model number | part number | stepper type
FL57STH76-2504ACF-ARK Hybrid Stepper Motor,1,0,2,6,1,3,50.0%,0.0%,stepper motor - motor_type | product_type,FL57STH76-2504ACF-ARK - model_number | part_number | mpn |||| Hybrid Stepper Motor - motor_type | stepper_type |||| Hybrid - technology,motor type,,product type,model number | mpn | part number | stepper type | technology
FL60STH65-2008AF Hybrid Stepper Motor,1,0,2,5,1,2,50.0%,0.0%,stepper motor - motor_type | product_type,FL60STH65-2008AF - model_number | part_number | mpn |||| Hybrid Stepper Motor - motor_type | stepper_type,motor type,,product type,model number | mpn | part number | stepper type
FL60STH65-2804AF Hybrid Stepper Motor,1,1,2,7,1,3,50.0%,100.0%,stepper motor - motor_type | product_type,FL60STH65-2804AF - model_number | part_number | mpn |||| hybrid - technology | type |||| stepper motor - motor_type | stepper,motor type,stepper motor,product type,model number | mpn | part number | stepper | technology | type
FOOT Mounted Motor (model Gf 6834),3,1,4,5,2,3,75.0%,50.0%,motor - motor_type | product_type |||| foot mount - mounting_type | mounting,FOOT Mounted - mounting | mounting_type |||| Motor - motor_type |||| Gf 6834 - model | model_number,motor type | mounting | mounting type,motor,product type,model | model number
Face Mounted Motor marathon 75hp,5,1,8,7,3,3,62.5%,33.3%,marathon - brand | manufacturer | company |||| motor - motor_type | product_type |||| 75 hp - power | horsepower | hp,Face Mounted - mounting | mounting_type |||| marathon - brand | manufacturer |||| 75hp - horsepower | power | hp,brand | horsepower | hp | manufacturer | power,marathon,company | motor type | product type,mounting | mounting type
Fan Motor,3,1,4,3,2,1,75.0%,50.0%,fan motor - motor_type | product_type |||| fan - application | use,fan motor - application | motor_type | use,application | motor type | use,fan motor,product type,
Fanuc AC Servo Motor 0.35kW 6000 A06B-0115-B103 and Pulsecoder,8,1,15,13,6,6,53.3%,16.7%,fanuc - brand | manufacturer | company |||| servo motor - motor_type | product_type |||| 0.35 kw - power | kilowatt | wattage |||| ac - current_type | supply_type |||| B103 - model_number | part_number | model |||| fan - application | use,Fanuc - brand | manufacturer |||| AC Servo Motor - motor_type | servo |||| 0.35kW - power | wattage | kilowatt |||| 6000 - rpm | speed |||| A06B-0115-B103 - part_number | model_number |||| Pulsecoder - feature | encoder_type,brand | kilowatt | manufacturer | model number | motor type | part number | power | wattage,fanuc,application | company | current type | model | product type | supply type | use,encoder type | feature | rpm | servo | speed
Fire Safety Solenoid,2,1,4,4,1,2,50.0%,100.0%,solenoid - application | use |||| solenoid - product_category | category,solenoid - product_type | type |||| fire safety - application | use,application | use,solenoid,category | product category,product type | type
Flameproof Dol Starter,2,0,6,6,2,2,33.3%,0.0%,flame proof - enclosure | protection |||| starter - application | use |||| starter - product_category | category,dol starter - product_type | starter_type | type |||| flameproof - enclosure | protection | feature,enclosure | protection,,application | category | product category | use,feature | product type | starter type | type
Flange Motors,1,0,2,3,1,2,50.0%,0.0%,motor - motor_type | product_type,flange - mounting | mounting_type |||| motors - motor_type,motor type,,product type,mounting | mounting type
Flange Mounted Motor,3,1,4,3,2,2,75.0%,50.0%,motor - motor_type | product_type |||| flange mount - mounting_type | mounting,flange mounted - mounting | mounting_type |||| motor - motor_type,motor type | mounting | mounting type,motor,product type,
Foredom Flex Shaft Motor,2,0,2,5,1,3,100.0%,0.0%,motor - motor_type | product_type,Foredom - brand | manufacturer |||| Flex Shaft Motor - product_type | tool_type | motor_type,motor type | product type,,,brand | manufacturer | tool type
