Query,Key Match Count,Value Match Count,GT Unique Keys,QMeans Unique Keys,GT Unique Values,QMeans Unique Values,Key Match %,Value Match %,GT: Value - Keys (by priority),QMeans: Value - Keys (by priority),Matched Keys,Matched Values,GT Only Keys,QMeans Only Keys
FL42STH38-1684AF Hybrid Stepper Motor,1,1,2,2,1,2,50.0%,100.0%,stepper motor - motor_type | product_type,fl42sth38-1684af - model name/number |||| stepper motor - motor type,motor type,stepper motor,product type,model name/number
FL42STH47-1684AF-08- Hybrid Stepper Motor,1,1,2,2,1,2,50.0%,100.0%,stepper motor - motor_type | product_type,fl42sth47-1684af-08- - model name/number |||| stepper motor - motor type,motor type,stepper motor,product type,model name/number
FL42STH60-0854AF- Hybrid Stepper Motor,1,1,2,2,1,2,50.0%,100.0%,stepper motor - motor_type | product_type,fl42sth60-0854af- - model name/number |||| stepper motor - motor type,motor type,stepper motor,product type,model name/number
FL57BL01-24V-1500AD Brushless Motor,1,0,4,2,2,2,25.0%,0.0%,bldc motor - motor_type | product_type |||| 24v - voltage | supply_voltage,brushless - motor type |||| fl57bl01-24v-1500ad - model name/number,motor type,,product type | supply voltage | voltage,model name/number
FL57BLB60 Regular BLDC Motor,1,0,2,2,2,2,50.0%,0.0%,bldc motor - motor_type | product_type |||| dc motor - motor_type | product_type,bldc - motor type |||| fl57blb60 - model name/number,motor type,,product type,model name/number
FL57BLS01-24V-10000A- Regular BLDC Motor,1,0,4,2,3,2,25.0%,0.0%,bldc motor - motor_type | product_type |||| dc motor - motor_type | product_type |||| 24v - voltage | supply_voltage,bldc - motor type |||| fl57bls01-24v-10000a- - model name/number,motor type,,product type | supply voltage | voltage,model name/number
FL57STH51-2804AF- Hybrid Stepper Motor,1,1,2,2,1,2,50.0%,100.0%,stepper motor - motor_type | product_type,fl57sth51-2804af- - model name/number |||| stepper motor - motor type,motor type,stepper motor,product type,model name/number
FL57STH56-2504ACF-25 - Hybrid Stepper Motor,1,1,2,2,1,2,50.0%,100.0%,stepper motor - motor_type | product_type,fl57sth56-2504acf-25 - model name/number |||| stepper motor - motor type,motor type,stepper motor,product type,model name/number
FL57STH56-2504ACF-25-ARK Hybrid Stepper Motor,1,1,2,2,1,2,50.0%,100.0%,stepper motor - motor_type | product_type,fl57sth56-2504acf-25-ark - model name/number |||| stepper motor - motor type,motor type,stepper motor,product type,model name/number
FL57STH56-2804AF-01- Hybrid Stepper Motor,1,1,2,2,1,2,50.0%,100.0%,stepper motor - motor_type | product_type,fl57sth56-2804af-01- - model name/number |||| stepper motor - motor type,motor type,stepper motor,product type,model name/number
FL57STH76-2504ACF-ARK Hybrid Stepper Motor,1,1,2,2,1,2,50.0%,100.0%,stepper motor - motor_type | product_type,fl57sth76-2504acf-ark - model name/number |||| stepper motor - motor type,motor type,stepper motor,product type,model name/number
FL60STH65-2008AF Hybrid Stepper Motor,1,1,2,2,1,2,50.0%,100.0%,stepper motor - motor_type | product_type,fl60sth65-2008af - model name/number |||| stepper motor - motor type,motor type,stepper motor,product type,model name/number
FL60STH65-2804AF Hybrid Stepper Motor,1,1,2,2,1,2,50.0%,100.0%,stepper motor - motor_type | product_type,fl60sth65-2804af - model name/number |||| stepper motor - motor type,motor type,stepper motor,product type,model name/number
FOOT Mounted Motor (model Gf 6834),1,0,4,2,2,2,25.0%,0.0%,motor - motor_type | product_type |||| foot mount - mounting_type | mounting,foot - mounting type |||| gf 6834) - model name/number,mounting type,,motor type | mounting | product type,model name/number
Face Mounted Motor marathon 75hp,2,1,8,3,3,3,25.0%,33.3%,marathon - brand | manufacturer | company |||| motor - motor_type | product_type |||| 75 hp - power | horsepower | hp,75hp - power |||| face - mounting type |||| marathon - brand,brand | power,marathon,company | horsepower | hp | manufacturer | motor type | product type,mounting type
Fan Motor,0,0,4,1,2,1,0.0%,0.0%,fan motor - motor_type | product_type |||| fan - application | use,motor - part type,,,application | motor type | product type | use,part type
Fanuc AC Servo Motor 0.35kW 6000 A06B-0115-B103 and Pulsecoder,3,2,15,4,6,4,20.0%,33.3%,fanuc - brand | manufacturer | company |||| servo motor - motor_type | product_type |||| 0.35 kw - power | kilowatt | wattage |||| ac - current_type | supply_type |||| B103 - model_number | part_number | model |||| fan - application | use,0.35kw - power |||| a06b-0115-b103 - model name/number |||| ac - motor type |||| fanuc - brand,brand | motor type | power,ac | fanuc,application | company | current type | kilowatt | manufacturer | model | model number | part number | product type | supply type | use | wattage,model name/number
Fire Safety Solenoid,0,1,4,2,1,2,0.0%,100.0%,solenoid - application | use |||| solenoid - product_category | category,fire safety - usage |||| solenoid - product,,solenoid,application | category | product category | use,product | usage
Flameproof Dol Starter,0,0,6,2,2,2,0.0%,0.0%,flame proof - enclosure | protection |||| starter - application | use |||| starter - product_category | category,dol - starter type |||| flameproof - features,,,application | category | enclosure | product category | protection | use,features | starter type
Flange Motors,0,0,2,1,1,1,0.0%,0.0%,motor - motor_type | product_type,flange - mounting type,,,motor type | product type,mounting type
Flange Mounted Motor,1,0,4,1,2,1,25.0%,0.0%,motor - motor_type | product_type |||| flange mount - mounting_type | mounting,flange - mounting type,mounting type,,motor type | mounting | product type,
Gate Motor,0,0,2,0,1,0,0.0%,0.0%,motor - motor_type | product_type,,,,motor type | product type,
Gear Motor,1,0,5,1,2,1,20.0%,0.0%,ge - brand | manufacturer | company |||| gear motor - motor_type | product_type,gear - motor type,motor type,,brand | company | manufacturer | product type,
Gear and Vane Motors,1,0,5,1,2,1,20.0%,0.0%,ge - brand | manufacturer | company |||| motor - motor_type | product_type,vane - motor type,motor type,,brand | company | manufacturer | product type,
Godrej Lawkim Ac Motors,2,1,7,2,3,2,28.6%,33.3%,godrej lawkim - brand | manufacturer | company |||| ac motor - motor_type | product_type |||| ac - current_type | supply_type,ac - motor type |||| godrej - brand,brand | motor type,ac,company | current type | manufacturer | product type | supply type,
Godrej Lawkim Motor LK-4250,1,1,8,2,3,2,12.5%,33.3%,godrej lawkim - brand | manufacturer | company |||| motor - motor_type | product_type |||| LK-4250 - model_number | part_number | model,godrej - brand |||| lk-4250 - model name/number,brand,lk-4250,company | manufacturer | model | model number | motor type | part number | product type,model name/number
Gold Power Single Phase Induction Motor,2,3,7,3,3,3,28.6%,100.0%,gold power - brand | manufacturer | company |||| induction motor - motor_type | product_type |||| single phase - phase | supply_phase,gold power - brand |||| induction motor - motor type |||| single phase - no of phase,brand | motor type,gold power | induction motor | single phase,company | manufacturer | phase | product type | supply phase,no of phase
Grow art 3 phase hybrid,1,0,2,2,1,2,50.0%,0.0%,three phase - phase | supply_phase,3 phase - phase |||| hybrid - type,phase,,supply phase,type
Gsm Mobile Starter Pcb,0,0,4,2,1,2,0.0%,0.0%,starter - application | use |||| starter - product_category | category,mobile - usage |||| pcb - material,,,application | category | product category | use,material | usage
HAVELLS 3 PHASE MOTORSIE2/IE3,2,1,7,2,3,2,28.6%,33.3%,havells - brand | manufacturer | company |||| three phase - phase | supply_phase |||| ie3 - efficiency_class | efficiency,3 phase - phase |||| havells - brand,brand | phase,havells,company | efficiency | efficiency class | manufacturer | supply phase,
HF-SP152 servo motor mitsubishi,1,2,8,3,3,3,12.5%,66.7%,mitsubishi - brand | manufacturer | company |||| servo motor - motor_type | product_type |||| SP152 - model_number | part_number | model,hf-sp152 - model name/number |||| mitsubishi - brand |||| servo motor - usage,brand,mitsubishi | servo motor,company | manufacturer | model | model number | motor type | part number | product type,model name/number | usage
HP400 Siemens Motor,1,3,8,3,3,3,12.5%,100.0%,siemens - brand | manufacturer | company |||| motor - motor_type | product_type |||| HP400 - model_number | part_number | model,hp400 - model name/number |||| motor - part type |||| siemens - brand,brand,hp400 | motor | siemens,company | manufacturer | model | model number | motor type | part number | product type,model name/number | part type
Hadrulicl Power motar,0,0,2,0,1,0,0.0%,0.0%,motor - motor_type | product_type,,,,motor type | product type,
Hanning Motor for Bentone Burner,0,0,2,0,1,0,0.0%,0.0%,motor - motor_type | product_type,,,,motor type | product type,
Havells Electric Motor,1,1,5,2,2,2,20.0%,50.0%,havells - brand | manufacturer | company |||| motor - motor_type | product_type,electric - power source |||| havells - brand,brand,havells,company | manufacturer | motor type | product type,power source
Havells Induction Motors,2,1,5,2,2,2,40.0%,50.0%,havells - brand | manufacturer | company |||| induction motor - motor_type | product_type,havells - brand |||| induction - motor type,brand | motor type,havells,company | manufacturer | product type,
Heavy Duty Rotary Air Motor,0,0,2,1,1,1,0.0%,0.0%,motor - motor_type | product_type,heavy duty - features,,,motor type | product type,features
Helical Geared Motor,0,0,2,0,1,0,0.0%,0.0%,gear motor - motor_type | product_type,,,,motor type | product type,
High Speed Motor,0,1,2,2,1,2,0.0%,100.0%,motor - motor_type | product_type,high speed - speed |||| motor - part type,,motor,motor type | product type,part type | speed
High Torque Square Geared Motor,0,0,2,2,1,2,0.0%,0.0%,gear motor - motor_type | product_type,high torque - torque |||| square - shape,,,motor type | product type,shape | torque
High Voltage Closed Air Circuit Air Cooled TP Series Vertical Mounting Induction Motors,1,0,6,3,3,3,16.7%,0.0%,induction motor - motor_type | product_type |||| three phase - phase | supply_phase |||| vertical mounting - mounting_type | mounting,air - cooling method |||| induction - motor type |||| tp series - series,motor type,,mounting | mounting type | phase | product type | supply phase,cooling method | series
High po re,0,0,0,0,0,0,N/A,N/A,,,,,,
Hindustan Geared Motors,1,1,5,1,2,1,20.0%,50.0%,hindustan - brand | manufacturer | company |||| gear motor - motor_type | product_type,hindustan - brand,brand,hindustan,company | manufacturer | motor type | product type,
Hollow Shaft Rotary Encoder :Jencoder,0,0,4,1,2,1,0.0%,0.0%,hollow shaft - shaft_type | shaft |||| encoder - product_category | category,rotary - encoder type,,,category | product category | shaft | shaft type,encoder type
Hollow Shaft Type Incremental Rotary Encoder,0,0,4,1,2,1,0.0%,0.0%,hollow shaft - shaft_type | shaft |||| encoder - product_category | category,incremental - encoder type,,,category | product category | shaft | shaft type,encoder type
Honeywell V4055 Fuild Power Actuator,1,2,10,3,3,3,10.0%,66.7%,honeywell - brand | manufacturer | company |||| V4055 - model_number | part_number | model |||| actuator - application | use |||| actuator - product_category | category,honeywell - brand |||| power actuator - actuator type |||| v4055 - model name/number,brand,honeywell | v4055,application | category | company | manufacturer | model | model number | part number | product category | use,actuator type | model name/number
Hydraulic Motor,0,0,2,1,1,1,0.0%,0.0%,motor - motor_type | product_type,hydraulic - power source,,,motor type | product type,power source
Hydraulic Motor bmr,0,0,2,1,1,1,0.0%,0.0%,motor - motor_type | product_type,hydraulic motor - type,,,motor type | product type,type
Hydromatik A2F-107 Hydraulic Piston Pump Motor,0,0,4,4,2,4,0.0%,0.0%,pump motor - motor_type | product_type |||| pump - application | use,a2f-107 - model name/number |||| hydraulic - type |||| hydromatik - brand |||| piston pump - pump type,,,application | motor type | product type | use,brand | model name/number | pump type | type
Hydromatik Rexroth A2F-12-Wp6 Hydraulic Piston Motor,0,0,2,2,1,2,0.0%,0.0%,motor - motor_type | product_type,a2f-12-wp6 - model name/number |||| hydraulic piston motor - type,,,motor type | product type,model name/number | type
INVT Servo Motor,0,0,2,2,1,2,0.0%,0.0%,servo motor - motor_type | product_type,invt - brand |||| servo - type,,,motor type | product type,brand | type
Indigo Self Armature,0,1,2,2,1,2,0.0%,100.0%,armature - product_category | category,armature - motor part type |||| indigo - brand,,armature,category | product category,brand | motor part type
Indo Cooler Motor Silver line,0,1,4,3,2,3,0.0%,50.0%,cooler motor - motor_type | product_type |||| cooler - application | use,cooler motor - usage |||| indo - brand |||| silver - color,,cooler motor,application | motor type | product type | use,brand | color | usage
